year,month,wdsp
2005,2,7.9
2005,4,9.0
2005,5,8.7
2005,6,8.1
2005,7,7.3
2005,8,7.1
2005,9,8.7
2005,10,8.8
2005,11,8.1
2005,12,7.5
2006,1,8.4
2006,2,7.9
2006,3,9.1
2006,4,8.8
2006,5,8.8
2006,6,7.1
2006,7,7.1
2006,8,7.6
2006,9,7.9
2006,10,8.3
2006,11,9.0
2006,12,10.1
2007,1,11.1
2007,2,8.2
2007,3,9.3
2007,4,6.7
2007,5,8.1
2007,6,7.0
2007,7,6.9
2007,8,6.8
2007,9,6.4
2007,10,6.5
2007,11,7.4
2007,12,10.1
2008,1,10.0
2008,2,9.0
2008,3,9.5
2008,4,8.4
2008,5,7.6
2008,6,7.8
2008,7,7.8
2008,8,7.6
2008,9,7.4
2008,10,8.9
2008,11,8.0
2008,12,7.5
2009,1,8.8
2009,2,7.2
2009,3,9.2
2009,4,8.1
2009,5,9.3
2009,6,7.1
2009,7,7.3
2009,8,8.7
2009,9,7.3
2009,10,7.3
2009,11,9.5
2009,12,7.4
2010,1,6.8
2010,2,6.0
2010,3,7.4
2010,4,7.1
2010,5,7.2
2010,6,7.1
2010,7,8.4
2010,8,7.0
2010,9,7.3
2010,10,7.5
2010,11,7.7
2010,12,4.8
2011,1,6.5
2011,2,8.5
2011,3,6.8
2011,4,7.8
2011,5,11.5
2011,6,7.5
2012,1,10.2
2012,2,8.5
2012,3,7.9
2012,4,8.2
2012,5,7.6
2012,6,7.4
2012,7,6.8
2012,8,7.7
2012,9,7.9
2012,10,6.7
2012,11,7.6
2012,12,8.4
2013,1,8.2
2013,2,8.0
2013,3,9.5
2013,4,10.3
2013,5,9.6
2013,6,7.0
2013,7,5.8
2013,8,7.4
2013,9,7.7
2013,10,7.9
2013,11,6.4
2013,12,10.9
2014,1,9.3
2014,2,11.1
2014,3,8.9
2014,4,8.1
2014,5,7.9
2014,6,6.5
2014,7,6.6
2014,8,7.9
2014,9,5.5
2014,10,8.8
2014,11,6.9
2014,12,9.0
2015,1,10.7
2015,2,7.9
2015,3,9.7
2015,4,7.4
2015,5,9.5
2015,6,8.2
2015,7,7.9
2015,8,7.4
2015,9,6.6
2015,10,6.5
2015,11,10.0
2015,12,11.5
2016,1,9.3
2016,2,9.2
2016,3,8.1
2016,4,8.3
2016,5,7.6
2016,6,6.8
2016,7,7.1
2016,8,8.1
2016,9,8.1
2016,10,6.7
2016,11,6.3
2016,12,8.2
2017,1,7.7
2017,2,10.1
2017,3,8.8
2017,4,7.2
2017,5,7.4
2017,6,8.8
2017,7,7.3
2017,8,7.2
2017,9,7.7
2017,10,9.2
2017,11,6.6
2017,12,7.8
2018,1,9.9
2018,2,8.1
2018,3,8.9
2018,4,8.8
2018,5,7.8
2018,6,6.2
2018,7,6.5
2018,8,7.2
2018,9,7.3
2018,10,8.2
2018,11,9.2
2018,12,8.3
2019,1,6.9
2019,2,9.8
2019,3,9.7
2019,4,8.7
2019,5,7.0
2019,6,7.8
2019,7,6.9
2019,8,7.8
2019,9,7.2
2019,10,7.9
2019,11,7.2
2019,12,8.9
2020,1,9.0
2020,2,12.1
2020,3,9.2
2020,4,7.2
2020,5,8.1
2020,6,8.1
2020,7,7.6
2020,8,6.7
2020,9,7.4
2020,10,8.5
2020,11,8.0
2020,12,8.1
2021,1,6.6
2021,2,10.5
2021,3,8.9
2021,4,7.1
2021,5,7.4
2021,6,7.2
2021,7,5.1
2021,8,6.3
2021,9,5.9
2021,10,7.3
2021,11,7.4
2021,12,8.6
2022,1,7.6
2022,2,11.6
2022,3,7.4
2022,4,7.9
2022,5,8.4
2022,6,8.1
2022,7,6.4
2022,8,6.2
2022,9,6.5
2022,10,8.7
2022,11,8.5
2022,12,6.7
2023,1,8.0
2023,2,8.4
2023,3,8.0
2023,4,7.9
2023,5,6.6
2023,6,6.6
2023,7,7.7
2023,8,7.5
2023,9,6.8
2023,10,7.1
2023,11,7.3
2023,12,10.0
2024,1,8.0
2024,2,8.3
2024,3,8.9
2024,4,8.6
2024,5,6.3
2024,6,7.7
2024,7,6.5
2024,8,8.5
2024,9,6.8
2024,10,7.7
2024,11,6.5
2024,12,8.7
2025,1,7.4
2025,2,9.9
2025,3,7.8
2025,4,7.2
2025,5,6.5
2025,6,7.7
2025,7,6.8
2025,8,7.2
2025,9,7.7
2025,10,8.4
2025,11,7.8
